Location,Latitude,Longitude
Virginia Beach,36.78,-76.02
Chesapeake,36.68,-76.3
Arlington,38.88,-77.1
Richmond,37.53,-77.48
Norfolk,36.92,-76.25
Newport News,37.08,-76.52
Alexandria,38.82,-77.09
Hampton,37.05,-76.3
Suffolk,36.7,-76.63
Roanoke,37.28,-79.96
Portsmouth,36.86,-76.36
Lynchburg,37.4,-79.19
Dale City,38.65,-77.35
Centreville,38.84,-77.44
Reston,38.95,-77.35
McLean,38.94,-77.19
Harrisonburg,38.44,-78.87
Leesburg,39.11,-77.55
Tuckahoe,37.59,-77.59
Ashburn,39.03,-77.47
Lake Ridge,38.68,-77.31
Blacksburg,37.23,-80.43
Charlottesville,38.04,-78.49
Annandale,38.83,-77.2
Linton Hall,38.76,-77.57
Manassas,38.75,-77.48
Burke,38.78,-77.26
Danville,36.58,-79.41
Mechanicsville,37.63,-77.36
South Riding,38.91,-77.51
Oakton,38.89,-77.3
Fair Oaks,38.87,-77.36
Petersburg,37.2,-77.39
Short Pump,37.65,-77.62
Springfield,38.78,-77.18
Sterling,39.01,-77.41
Fredericksburg,38.3,-77.49
Brambleton,38.98,-77.53
Winchester,39.17,-78.17
Cave Spring,37.23,-80.01
